Year	113 Cause Name	Cause Name	State	Deaths	Age-adjusted Death Rate
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Indiana	2139	35.4
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Iowa	1070	33.4
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Kansas	1054	38
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Kentucky	1838	45.7
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Louisiana	2006	45.9
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Maine	407	30.9
2005	All Causes	All Causes	Vermont	5066	751.6
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Maryland	1182	23.3
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Massachusetts	1357	20.2
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Michigan	3220	32.9
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Minnesota	1711	34.3
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Mississippi	1653	58.9
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Missouri	2398	41.9
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Montana	495	53.9
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Nebraska	640	35.3
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Nevada	730	38.7
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	New Hampshire	321	26.3
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	New Jersey	2284	26.7
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	New Mexico	995	56.8
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	New York	4244	22
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	North Carolina	3525	44.7
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	North Dakota	248	35.3
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Ohio	3492	30.5
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Oklahoma	1566	44.9
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Oregon	1248	35.8
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Pennsylvania	4583	35.2
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Rhode Island	235	20.5
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	South Carolina	1974	50
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	South Dakota	321	41.2
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Tennessee	2743	48.5
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Texas	7407	37.6
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	United States	97900	34.9
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Utah	665	34.2
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Vermont	234	38.1
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Virginia	2396	35.4
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Washington	2049	35.5
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	West Virginia	817	43.2
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Wisconsin	2159	38.9
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Wyoming	245	50.8
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Alabama	2211	49.5
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Alaska	345	60.5
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Arizona	2475	47.6
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Arkansas	1277	46.5
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	California	8132	24.5
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Colorado	1720	41.6
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Connecticut	1056	29.5
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Delaware	290	36.6
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	District of Columbia	223	38.4
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Florida	6969	40.5
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Georgia	3396	43.8
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Hawaii	372	29.8
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Idaho	568	44.2
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Illinois	4077	32.8
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Indiana	2185	35.8
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Iowa	1051	32.5
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Kansas	1156	41.4
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Kentucky	1990	49.1
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Louisiana	2029	46.5
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Maine	490	36.3
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Maryland	1339	25.8
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Massachusetts	1506	22.2
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Michigan	3291	33.3
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Minnesota	1797	35.4
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Mississippi	1571	56
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Missouri	2455	42.5
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Montana	468	50.1
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Nebraska	633	34.8
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Nevada	739	37
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	New Hampshire	374	30.3
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	New Jersey	2405	27.8
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	New Mexico	1020	57.7
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	New York	4982	25.7
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	North Carolina	3438	42.6
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	North Dakota	238	33.9
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Ohio	3857	33.4
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Oklahoma	1700	48.5
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Oregon	1313	36.9
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Pennsylvania	4552	34.6
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Rhode Island	293	25.3
2006	All Causes	All Causes	Texas	157150	807.7
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	South Carolina	1960	49
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	South Dakota	382	47.3
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Tennessee	2709	47.3
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Texas	7920	39.7
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	United States	101537	35.7
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Utah	643	32.5
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Vermont	230	36.8
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Virginia	2432	35.2
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Washington	2072	35.2
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	West Virginia	834	44.7
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Wisconsin	2100	37.5
2001	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Wyoming	272	55.5
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Alabama	2228	49.6
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Alaska	346	59.2
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Arizona	2577	48.6
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Arkansas	1311	47.6
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	California	10107	30.1
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Colorado	1812	43.1
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Connecticut	1182	32.5
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Delaware	292	36.4
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	District of Columbia	200	34.6
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Florida	7396	42
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Georgia	3333	42.3
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Hawaii	393	30.9
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Idaho	611	47.1
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Illinois	4222	33.8
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Indiana	2148	34.9
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Iowa	1093	33.6
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Kansas	1139	40.8
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Kentucky	2090	51.3
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Louisiana	2115	48.1
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Maine	511	38.1
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Maryland	1332	25.2
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Massachusetts	1413	20.7
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Michigan	3285	33
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Minnesota	1928	37.6
2010	All Causes	All Causes	Nevada	19623	795.4
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Mississippi	1642	58.5
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Missouri	2641	45.6
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Montana	524	55.6
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Nebraska	762	41.7
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Nevada	860	41.7
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	New Hampshire	357	28.5
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	New Jersey	2599	29.8
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	New Mexico	1105	61.4
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	New York	4663	23.9
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	North Carolina	3700	45.3
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	North Dakota	246	35.1
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Ohio	4146	35.8
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Oklahoma	1580	44.9
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Oregon	1397	38.4
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Pennsylvania	4728	35.9
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Rhode Island	277	23.4
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	South Carolina	1972	48.7
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	South Dakota	348	43.5
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Tennessee	2744	47.7
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Texas	8232	40.4
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	United States	106742	37.1
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Utah	714	35.8
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Vermont	240	37.8
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Virginia	2479	35.2
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Washington	2203	36.8
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	West Virginia	956	50.9
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Wisconsin	2274	40.1
2002	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Wyoming	289	58.1
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Alabama	2179	48.3
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Alaska	321	55.4
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Arizona	2697	49.8
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Arkansas	1304	46.9
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	California	10471	30.7
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Colorado	1806	42.4
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Connecticut	1112	30.2
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Delaware	287	34.9
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	District of Columbia	233	40.8
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Florida	7919	44.2
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Georgia	3528	44.2
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Hawaii	415	31.9
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Idaho	605	45.6
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Illinois	3942	31.5
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Indiana	2196	35.4
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Iowa	1164	35.4
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Kansas	1089	38.6
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Kentucky	2270	55.2
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Louisiana	2208	49.8
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Maine	516	38
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Maryland	1432	26.7
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Massachusetts	1421	20.7
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Michigan	3324	33
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Minnesota	1912	36.7
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Mississippi	1656	58.8
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Missouri	2786	47.6
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Montana	518	54.8
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Nebraska	696	38
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Nevada	911	41.9
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	New Hampshire	405	31.5
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	New Jersey	2371	27
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	New Mexico	1227	67.3
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	New York	4708	23.9
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	North Carolina	3835	46.3
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	North Dakota	282	39.9
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Ohio	3757	32.2
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Oklahoma	1748	49.9
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Oregon	1401	38.2
2003	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Pennsylvania	5014	37.9
